zip_code,locality_fr,locality_nl,locality
9,Scherpenheuvel-Zichem,Zichem,Zichem
9,Scherpenheuvel-Zichem,Zichem,Scherpenheuvel-Zichem
9,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem
612,Saint-Nicolas,Brussel,Saint-Nicolas
612,Saint-Nicolas,Brussel,Brussel
612,Saint-Nicolas,Sinterklaas,Saint-Nicolas
612,Saint-Nicolas,Sinterklaas,Sinterklaas
612,Bruxelles,Sinterklaas,Sinterklaas
612,Bruxelles,Sinterklaas,Bruxelles
612,Bruxelles,Brussel,Bruxelles
612,Bruxelles,Brussel,Brussel
1000,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
1000,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Sint-Joost-ten-Node
1000,Ixelles,Elsene,Elsene
1000,Ixelles,Elsene,Ixelles
1000,Bruxelles,Brussel,Bruxelles
1000,Bruxelles,Brussel,Brussel
1005,Bruxelles,Brussel,Bruxelles
1005,Bruxelles,Brussel,Brussel
1006,Bruxelles,Brussel,Bruxelles
1006,Bruxelles,Brussel,Brussel
1007,Bruxelles,Brussel,Bruxelles
1007,Bruxelles,Brussel,Brussel
1008,Bruxelles,Brussel,Bruxelles
1008,Bruxelles,Brussel,Brussel
1009,Bruxelles,Brussel,Bruxelles
1009,Bruxelles,Brussel,Brussel
1011,Bruxelles,Brussel,Bruxelles
1011,Bruxelles,Brussel,Brussel
1012,Bruxelles,Brussel,Bruxelles
1012,Bruxelles,Brussel,Brussel
1020,Bruxelles,Brussel,Bruxelles
1020,Bruxelles,Brussel,Brussel
1030,Schaerbeek,Schaarbeek,Schaarbeek
1030,Schaerbeek,Schaarbeek,Schaerbeek
1031,Schaerbeek,Schaarbeek,Schaarbeek
1031,Schaerbeek,Schaarbeek,Schaerbeek
1033,Schaerbeek,Schaarbeek,Schaarbeek
1033,Schaerbeek,Schaarbeek,Schaerbeek
1035,Schaerbeek,Schaarbeek,Schaarbeek
1035,Schaerbeek,Schaarbeek,Schaerbeek
1040,Bruxelles,Brussel,Bruxelles
1040,Bruxelles,Brussel,Brussel
1040,Etterbeek,Etterbeek,Etterbeek
1041,Bruxelles,Brussel,Bruxelles
1041,Bruxelles,Brussel,Brussel
1043,Schaerbeek,Schaarbeek,Schaarbeek
1043,Schaerbeek,Schaarbeek,Schaerbeek
1044,Schaerbeek,Schaarbeek,Schaarbeek
1044,Schaerbeek,Schaarbeek,Schaerbeek
1046,Evere,Evere,Evere
1047,Ixelles,Elsene,Elsene
1047,Ixelles,Elsene,Ixelles
1048,Bruxelles,Brussel,Bruxelles
1048,Bruxelles,Brussel,Brussel
1049,Evere,Evere,Evere
1050,Saint-Gilles,Sint-Gillis,Sint-Gillis
1050,Saint-Gilles,Sint-Gillis,Saint-Gilles
1050,Ixelles,Elsene,Elsene
1050,Ixelles,Elsene,Ixelles
1060,Saint-Gilles,Sint-Gillis,Sint-Gillis
1060,Saint-Gilles,Sint-Gillis,Saint-Gilles
1070,Anderlecht,Anderlecht,Anderlecht
1080,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
1080,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,Sint-Jans-Molenbeek
1081,Koekelberg,Koekelberg,Koekelberg
1082,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,Berchem-Sainte-Agathe
1082,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,Sint-Agatha-Berchem
1083,Ganshoren,Ganshoren,Ganshoren
1090,Jette,Jette,Jette
1099,Bruxelles,Brussel,Bruxelles
1099,Bruxelles,Brussel,Brussel
1105,Bruxelles,Brussel,Bruxelles
1105,Bruxelles,Brussel,Brussel
1110,Bruxelles,Brussel,Bruxelles
1110,Bruxelles,Brussel,Brussel
1120,Bruxelles,Brussel,Bruxelles
1120,Bruxelles,Brussel,Brussel
1130,Bruxelles,Brussel,Bruxelles
1130,Bruxelles,Brussel,Brussel
1140,Evere,Evere,Evere
1150,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
1150,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe
1160,Auderghem,Oudergem,Auderghem
1160,Auderghem,Oudergem,Oudergem
1170,Watermael-Boitsfort,Watermaal-Bosvoorde,Watermael-Boitsfort
1170,Watermael-Boitsfort,Watermaal-Bosvoorde,Watermaal-Bosvoorde
1180,Uccle,Ukkel,Ukkel
1180,Uccle,Ukkel,Uccle
1190,Forest,Vorst,Forest
1190,Forest,Vorst,Vorst
1200,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,Sint-Lambrechts-Woluwe
1200,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
1210,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
1210,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Sint-Joost-ten-Node
1212,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
1212,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Sint-Joost-ten-Node
1300,Wavre,Wavre,Wavre
1300,Limal,Wavre,Limal
1300,Limal,Wavre,Wavre
1301,Wavre,Wavre,Wavre
1301,Bierges,Wavre,Bierges
1301,Bierges,Wavre,Wavre
1310,La Hulpe,La Hulpe,La Hulpe
1315,Incourt,Incourt,Incourt
1320,Beauvechain,Beauvechain,Beauvechain
1325,Chaumont-Gistoux,Chaumont-Gistoux,Chaumont-Gistoux
1330,Rixensart,Rixensart,Rixensart
1331,Rosières,Rixensart,Rixensart
1331,Rosières,Rixensart,Rosières
1331,Rixensart,Rixensart,Rixensart
1332,Rixensart,Rixensart,Rixensart
